time,date,y,y_pred,state,county,ethnicity
18,2020-07-01,1.66277194636871,1.5260788616444323,california,None,Hispanic
19,2020-07-02,1.6620224849981695,1.5260788616444323,california,None,Hispanic
21,2020-07-04,1.6578861392027802,1.5260788616444323,california,None,Hispanic
22,2020-07-05,1.65479710589298,1.5260788616444323,california,None,Hispanic
23,2020-07-06,1.65101422734656,1.5260788616444323,california,None,Hispanic
25,2020-07-08,1.6454397735538602,1.5260788616444323,california,None,Hispanic
26,2020-07-09,1.6464190149052802,1.5260788616444323,california,None,Hispanic
27,2020-07-10,1.6462426401035202,1.5260788616444323,california,None,Hispanic
29,2020-07-12,1.64569444283632,1.5260788616444323,california,None,Hispanic
30,2020-07-13,1.6480992035401398,1.5260788616444323,california,None,Hispanic
31,2020-07-14,1.64939852719614,1.5260788616444323,california,None,Hispanic
32,2020-07-15,1.64926968531115,1.5260788616444323,california,None,Hispanic
33,2020-07-16,1.6516286805718,1.5260788616444323,california,None,Hispanic
34,2020-07-17,1.66129393775108,1.5260788616444323,california,None,Hispanic
36,2020-07-19,1.66411012389005,1.5260788616444323,california,None,Hispanic
37,2020-07-20,1.6647737995463798,1.5260788616444323,california,None,Hispanic
38,2020-07-21,1.66667608929083,1.5260788616444323,california,None,Hispanic
39,2020-07-22,1.6650675619386202,1.5260788616444323,california,None,Hispanic
40,2020-07-23,1.6654012514912298,1.5260788616444323,california,None,Hispanic
41,2020-07-24,1.66692052558121,1.5260788616444323,california,None,Hispanic
42,2020-07-25,1.66795826009516,1.5260788616444323,california,None,Hispanic
43,2020-07-26,1.67383951638607,1.5260788616444323,california,None,Hispanic
45,2020-07-28,1.67508174179086,1.5260788616444323,california,None,Hispanic
46,2020-07-29,1.67489846988365,1.5260788616444323,california,None,Hispanic
47,2020-07-30,1.6833980374523898,1.5260788616444323,california,None,Hispanic
49,2020-08-01,1.6938584428049197,1.5260788616444323,california,None,Hispanic
50,2020-08-02,1.69764899611373,1.5260788616444323,california,None,Hispanic
54,2020-08-06,1.7083592439996498,1.5260788616444323,california,None,Hispanic
60,2020-08-12,1.71457664904437,1.5260788616444323,california,None,Hispanic
62,2020-08-14,1.71367001038075,1.5260788616444323,california,None,Hispanic
69,2020-08-21,1.7196485966848898,1.5260788616444323,california,None,Hispanic
71,2020-08-23,1.72251906981282,1.5260788616444323,california,None,Hispanic
72,2020-08-24,1.7216718034502,1.5260788616444323,california,None,Hispanic
73,2020-08-25,1.7206571860348,1.5260788616444323,california,None,Hispanic
75,2020-08-27,1.72220868379967,1.5260788616444323,california,None,Hispanic
76,2020-08-28,1.72374988846796,1.5260788616444323,california,None,Hispanic
77,2020-08-29,1.7251838525565402,1.5260788616444323,california,None,Hispanic
78,2020-08-30,1.72431346952341,1.5260788616444323,california,None,Hispanic
79,2020-08-31,1.7247870263749498,1.5260788616444323,california,None,Hispanic
80,2020-09-01,1.72454670574427,1.5260788616444323,california,None,Hispanic
81,2020-09-02,1.72401895633673,1.5260788616444323,california,None,Hispanic
82,2020-09-03,1.72502344431256,1.5260788616444323,california,None,Hispanic
83,2020-09-04,1.72524116164377,1.5260788616444323,california,None,Hispanic
84,2020-09-05,1.72602877584922,1.5260788616444323,california,None,Hispanic
85,2020-09-06,1.7273273948893002,1.5260788616444323,california,None,Hispanic
88,2020-09-09,1.72762398007473,1.5260788616444323,california,None,Hispanic
89,2020-09-10,1.7279535123669498,1.5260788616444323,california,None,Hispanic
90,2020-09-11,1.72854083153393,1.5260788616444323,california,None,Hispanic
91,2020-09-12,1.7283202998632698,1.5260788616444323,california,None,Hispanic
92,2020-09-13,1.7280692558215702,1.5260788616444323,california,None,Hispanic
93,2020-09-14,1.72788570559262,1.5260788616444323,california,None,Hispanic
94,2020-09-15,1.72768507314172,1.5260788616444323,california,None,Hispanic
95,2020-09-16,1.72760166679813,1.5260788616444323,california,None,Hispanic
96,2020-09-17,1.7283687717898704,1.5260788616444323,california,None,Hispanic
97,2020-09-18,1.72884698091685,1.5260788616444323,california,None,Hispanic
99,2020-09-20,1.7289301675585702,1.5260788616444323,california,None,Hispanic
100,2020-09-21,1.7284952016289898,1.5260788616444323,california,None,Hispanic
101,2020-09-22,1.72789028449685,1.5260788616444323,california,None,Hispanic
102,2020-09-23,1.72769395619748,1.5260788616444323,california,None,Hispanic
103,2020-09-24,1.72833692813961,1.5260788616444323,california,None,Hispanic
104,2020-09-25,1.7285898898850602,1.5260788616444323,california,None,Hispanic
105,2020-09-26,1.7270425184503897,1.5260788616444323,california,None,Hispanic
106,2020-09-27,1.7264654980577498,1.5260788616444323,california,None,Hispanic
107,2020-09-28,1.72607646517331,1.5260788616444323,california,None,Hispanic
108,2020-09-29,1.7257451766617302,1.5260788616444323,california,None,Hispanic
109,2020-09-30,1.72464829015212,1.5260788616444323,california,None,Hispanic
110,2020-10-01,1.72435011504031,1.5260788616444323,california,None,Hispanic
111,2020-10-02,1.72305439443128,1.5260788616444323,california,None,Hispanic
112,2020-10-03,1.72278820147425,1.5260788616444323,california,None,Hispanic
113,2020-10-04,1.72209714050448,1.5260788616444323,california,None,Hispanic
114,2020-10-05,1.72185021297046,1.5260788616444323,california,None,Hispanic
115,2020-10-06,1.72152248564868,1.5260788616444323,california,None,Hispanic
116,2020-10-07,1.7208866524309998,1.5260788616444323,california,None,Hispanic
117,2020-10-08,1.7210088807559298,1.5260788616444323,california,None,Hispanic
118,2020-10-09,1.7206120227011998,1.5260788616444323,california,None,Hispanic
119,2020-10-10,1.7203405723330398,1.5260788616444323,california,None,Hispanic
120,2020-10-11,1.71995519019222,1.5260788616444323,california,None,Hispanic
121,2020-10-12,1.71943859621977,1.5260788616444323,california,None,Hispanic
122,2020-10-13,1.71954512275603,1.5260788616444323,california,None,Hispanic
123,2020-10-14,1.71914211150847,1.5260788616444323,california,None,Hispanic
124,2020-10-15,1.71937732544449,1.5260788616444323,california,None,Hispanic
125,2020-10-16,1.71912049450172,1.5260788616444323,california,None,Hispanic
127,2020-10-18,1.71876020356075,1.5260788616444323,california,None,Hispanic
129,2020-10-20,1.71757210406542,1.5260788616444323,california,None,Hispanic
131,2020-10-22,1.7166029857786995,1.5260788616444323,california,None,Hispanic
134,2020-10-25,1.7164364554033,1.5260788616444323,california,None,Hispanic
136,2020-10-27,1.71490800806531,1.5260788616444323,california,None,Hispanic
138,2020-10-29,1.71427928075569,1.5260788616444323,california,None,Hispanic
140,2020-10-31,1.71213658072428,1.5260788616444323,california,None,Hispanic
143,2020-11-03,1.71023555374484,1.5260788616444323,california,None,Hispanic
145,2020-11-05,1.70903312945804,1.5260788616444323,california,None,Hispanic
148,2020-11-08,1.70699578369529,1.5260788616444323,california,None,Hispanic
150,2020-11-10,1.7016364538461968,1.5260788616444323,california,None,Hispanic
151,2020-11-11,1.6974990617259855,1.5260788616444323,california,None,Hispanic
155,2020-11-15,1.691989590665257,1.5260788616444323,california,None,Hispanic
156,2020-11-16,1.6886522395457568,1.5260788616444323,california,None,Hispanic
158,2020-11-18,1.6844176047233304,1.5260788616444323,california,None,Hispanic
162,2020-11-22,1.6781499493823844,1.5260788616444323,california,None,Hispanic
163,2020-11-23,1.6753323647108675,1.5260788616444323,california,None,Hispanic
166,2020-11-26,1.6668446577046403,1.5260788616444323,california,None,Hispanic
169,2020-11-29,1.6594106474850443,1.5260788616444323,california,None,Hispanic
0,2020-06-13,0.554755585088147,0.5892247413952714,california,None,White
1,2020-06-14,0.5547813414693571,0.5892247413952714,california,None,White
2,2020-06-15,0.55189199737283,0.5892247413952714,california,None,White
4,2020-06-17,0.545904547284052,0.5892247413952714,california,None,White
5,2020-06-18,0.54517534596468,0.5892247413952714,california,None,White
6,2020-06-19,0.542402257312185,0.5892247413952714,california,None,White
8,2020-06-21,0.542575247912091,0.5892247413952714,california,None,White
9,2020-06-22,0.543774560235835,0.5892247413952714,california,None,White
10,2020-06-23,0.544126481112282,0.5892247413952714,california,None,White
11,2020-06-24,0.537013776066922,0.5892247413952714,california,None,White
12,2020-06-25,0.536057227089129,0.5892247413952714,california,None,White
13,2020-06-26,0.535944041692181,0.5892247413952714,california,None,White
14,2020-06-27,0.5370330618039939,0.5892247413952714,california,None,White
16,2020-06-29,0.540251774015657,0.5892247413952714,california,None,White
18,2020-07-01,0.543019257343674,0.5892247413952714,california,None,White
19,2020-07-02,0.546075820896692,0.5892247413952714,california,None,White
21,2020-07-04,0.55382796955866,0.5892247413952714,california,None,White
22,2020-07-05,0.557037996857852,0.5892247413952714,california,None,White
23,2020-07-06,0.560763073156223,0.5892247413952714,california,None,White
25,2020-07-08,0.566447542055505,0.5892247413952714,california,None,White
26,2020-07-09,0.5668566296502049,0.5892247413952714,california,None,White
27,2020-07-10,0.570828252787624,0.5892247413952714,california,None,White
29,2020-07-12,0.572682769725641,0.5892247413952714,california,None,White
30,2020-07-13,0.572870594812764,0.5892247413952714,california,None,White
31,2020-07-14,0.572524998298191,0.5892247413952714,california,None,White
32,2020-07-15,0.574400867983534,0.5892247413952714,california,None,White
33,2020-07-16,0.573594329419025,0.5892247413952714,california,None,White
34,2020-07-17,0.5683187313914799,0.5892247413952714,california,None,White
36,2020-07-19,0.566640056368856,0.5892247413952714,california,None,White
37,2020-07-20,0.566507966131227,0.5892247413952714,california,None,White
38,2020-07-21,0.566018743699615,0.5892247413952714,california,None,White
39,2020-07-22,0.568130308071777,0.5892247413952714,california,None,White
40,2020-07-23,0.5685185447777921,0.5892247413952714,california,None,White
41,2020-07-24,0.567578473135479,0.5892247413952714,california,None,White
42,2020-07-25,0.5676151253372099,0.5892247413952714,california,None,White
43,2020-07-26,0.563448724076682,0.5892247413952714,california,None,White
45,2020-07-28,0.5628680756664379,0.5892247413952714,california,None,White
46,2020-07-29,0.562861803830186,0.5892247413952714,california,None,White
47,2020-07-30,0.5565988640369379,0.5892247413952714,california,None,White
49,2020-08-01,0.548994405308346,0.5892247413952714,california,None,White
50,2020-08-02,0.546438439179007,0.5892247413952714,california,None,White
54,2020-08-06,0.5374809782087621,0.5892247413952714,california,None,White
60,2020-08-12,0.5324060369614639,0.5892247413952714,california,None,White
62,2020-08-14,0.532713665782414,0.5892247413952714,california,None,White
69,2020-08-21,0.526477348981311,0.5892247413952714,california,None,White
71,2020-08-23,0.524301702134168,0.5892247413952714,california,None,White
72,2020-08-24,0.5248472134858471,0.5892247413952714,california,None,White
73,2020-08-25,0.525438340355122,0.5892247413952714,california,None,White
75,2020-08-27,0.524222510405392,0.5892247413952714,california,None,White
76,2020-08-28,0.522964419627639,0.5892247413952714,california,None,White
77,2020-08-29,0.521960963574299,0.5892247413952714,california,None,White
78,2020-08-30,0.522394044286454,0.5892247413952714,california,None,White
79,2020-08-31,0.521969856240802,0.5892247413952714,california,None,White
80,2020-09-01,0.522262436197769,0.5892247413952714,california,None,White
81,2020-09-02,0.522559219010783,0.5892247413952714,california,None,White
82,2020-09-03,0.521501978827982,0.5892247413952714,california,None,White
83,2020-09-04,0.521069285850859,0.5892247413952714,california,None,White
84,2020-09-05,0.520224818903834,0.5892247413952714,california,None,White
85,2020-09-06,0.519104669688204,0.5892247413952714,california,None,White
88,2020-09-09,0.5190199733474179,0.5892247413952714,california,None,White
89,2020-09-10,0.518538942881331,0.5892247413952714,california,None,White
90,2020-09-11,0.5179480894531839,0.5892247413952714,california,None,White
91,2020-09-12,0.517737592416055,0.5892247413952714,california,None,White
92,2020-09-13,0.517797316176851,0.5892247413952714,california,None,White
93,2020-09-14,0.5177250155625129,0.5892247413952714,california,None,White
94,2020-09-15,0.518018109548415,0.5892247413952714,california,None,White
95,2020-09-16,0.518208737508664,0.5892247413952714,california,None,White
96,2020-09-17,0.517518127870978,0.5892247413952714,california,None,White
97,2020-09-18,0.5170503779270471,0.5892247413952714,california,None,White
99,2020-09-20,0.517081667765895,0.5892247413952714,california,None,White
100,2020-09-21,0.517368945223715,0.5892247413952714,california,None,White
101,2020-09-22,0.5180798747182629,0.5892247413952714,california,None,White
102,2020-09-23,0.518007765220692,0.5892247413952714,california,None,White
103,2020-09-24,0.5178675810296339,0.5892247413952714,california,None,White
104,2020-09-25,0.51777911337733,0.5892247413952714,california,None,White
105,2020-09-26,0.519012266185582,0.5892247413952714,california,None,White
106,2020-09-27,0.519581886173814,0.5892247413952714,california,None,White
107,2020-09-28,0.519854174978619,0.5892247413952714,california,None,White
108,2020-09-29,0.52028581160891,0.5892247413952714,california,None,White
109,2020-09-30,0.521192626180418,0.5892247413952714,california,None,White
110,2020-10-01,0.5214279330501741,0.5892247413952714,california,None,White
111,2020-10-02,0.522366423431762,0.5892247413952714,california,None,White
112,2020-10-03,0.5223123577562729,0.5892247413952714,california,None,White
113,2020-10-04,0.522735109768577,0.5892247413952714,california,None,White
114,2020-10-05,0.5228458882237771,0.5892247413952714,california,None,White
115,2020-10-06,0.52309767362741,0.5892247413952714,california,None,White
116,2020-10-07,0.523708589721353,0.5892247413952714,california,None,White
117,2020-10-08,0.5236452358338279,0.5892247413952714,california,None,White
118,2020-10-09,0.5243244367944611,0.5892247413952714,california,None,White
119,2020-10-10,0.5247441547927271,0.5892247413952714,california,None,White
120,2020-10-11,0.525137565843671,0.5892247413952714,california,None,White
